,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
112,Airport West,3/7 South Rd,3,t,540000.0,SP,Nelson,18/06/2016,13.5,3042.0,2.0,2.0,1.0,161.0,Moonee Valley City Council,-37.7231,144.8802,Western Metropolitan,3464.0
113,Airport West,37 North St,3,t,825000.0,SP,Barry,19/11/2016,13.5,3042.0,3.0,2.0,1.0,293.0,Moonee Valley City Council,-37.72,144.8776,Western Metropolitan,3464.0
114,Airport West,10 Hilbert Rd,3,h,685000.0,S,Barry,22/05/2016,13.5,3042.0,3.0,1.0,1.0,579.0,Moonee Valley City Council,-37.7226,144.8733,Western Metropolitan,3464.0
116,Airport West,110 Halsey Rd,3,h,805000.0,S,Barry,22/08/2016,13.5,3042.0,3.0,1.0,1.0,623.0,Moonee Valley City Council,-37.7184,144.882,Western Metropolitan,3464.0
117,Airport West,2/13 North St,2,u,510000.0,S,Nelson,22/08/2016,13.5,3042.0,2.0,1.0,1.0,141.0,Moonee Valley City Council,-37.7202,144.8797,Western Metropolitan,3464.0
118,Airport West,105a Victory Rd,3,h,612000.0,S,Nelson,22/08/2016,13.5,3042.0,3.0,2.0,1.0,212.0,Moonee Valley City Council,-37.7181,144.8824,Western Metropolitan,3464.0
119,Airport West,117 Marshall Rd,3,h,662000.0,S,Brad,23/04/2016,13.5,3042.0,3.0,1.0,2.0,612.0,Moonee Valley City Council,-37.7169,144.8815,Western Metropolitan,3464.0
120,Airport West,34 Moorna Dr,4,h,978000.0,S,Nelson,24/09/2016,13.5,3042.0,4.0,3.0,2.0,532.0,Moonee Valley City Council,-37.7263,144.869,Western Metropolitan,3464.0
122,Airport West,33 North St,3,h,720000.0,PI,Nelson,25/02/2017,13.5,3042.0,3.0,1.0,1.0,585.0,Moonee Valley City Council,-37.72,144.878,Western Metropolitan,3464.0
128,Airport West,49 Roberts Rd,4,h,765000.0,S,Prof.,27/11/2016,13.5,3042.0,4.0,1.0,2.0,509.0,Moonee Valley City Council,-37.7261,144.8785,Western Metropolitan,3464.0
129,Airport West,85 Roberts Rd,4,h,900000.0,S,Harcourts,27/11/2016,13.5,3042.0,4.0,2.0,3.0,628.0,Moonee Valley City Council,-37.7256,144.8739,Western Metropolitan,3464.0
133,Albert Park,105 Kerferd Rd,2,h,1275000.0,S,hockingstuart,3/09/2016,3.3,3206.0,2.0,1.0,0.0,120.0,Port Phillip City Council,-37.8459,144.9555,Southern Metropolitan,3280.0
134,Albert Park,85 Richardson St,2,h,1455000.0,S,Thomson,3/09/2016,3.3,3206.0,2.0,1.0,0.0,159.0,Port Phillip City Council,-37.845,144.9538,Southern Metropolitan,3280.0
135,Albert Park,112 Beaconsfield Pde,3,h,2850000.0,PI,Buxton,4/03/2017,3.3,3206.0,3.0,2.0,0.0,211.0,Port Phillip City Council,-37.8481,144.9499,Southern Metropolitan,3280.0
136,Albert Park,94 Graham St,3,h,1850000.0,S,Greg,4/03/2017,3.3,3206.0,3.0,2.0,0.0,128.0,Port Phillip City Council,-37.8452,144.9488,Southern Metropolitan,3280.0
138,Albert Park,396 Montague St,2,h,1436000.0,S,RT,4/03/2017,3.3,3206.0,2.0,1.0,0.0,130.0,Port Phillip City Council,-37.8431,144.9565,Southern Metropolitan,3280.0
140,Albert Park,75 Graham St,2,h,1110000.0,S,Marshall,6/08/2016,3.3,3206.0,1.0,1.0,0.0,147.0,Port Phillip City Council,-37.8444,144.9484,Southern Metropolitan,3280.0
141,Albert Park,54 Brooke St,2,h,1550000.0,S,Sotheby's,7/05/2016,3.3,3206.0,2.0,1.0,1.0,167.0,Port Phillip City Council,-37.8405,144.9521,Southern Metropolitan,3280.0
142,Albert Park,104 Richardson St,4,h,2300000.0,S,Marshall,7/05/2016,3.3,3206.0,4.0,2.0,1.0,153.0,Port Phillip City Council,-37.8447,144.9523,Southern Metropolitan,3280.0
144,Albert Park,4a Mills St,3,t,1550000.0,VB,Marshall,7/11/2016,3.3,3206.0,3.0,2.0,2.0,718.0,Port Phillip City Council,-37.8443,144.9598,Southern Metropolitan,3280.0
145,Albert Park,1 Moubray St,3,h,1800000.0,VB,Greg,7/11/2016,3.3,3206.0,3.0,2.0,1.0,132.0,Port Phillip City Council,-37.8415,144.952,Southern Metropolitan,3280.0
147,Albert Park,29 Faussett St,2,h,2120000.0,S,Greg,10/09/2016,3.3,3206.0,2.0,1.0,1.0,199.0,Port Phillip City Council,-37.8422,144.9554,Southern Metropolitan,3280.0
148,Albert Park,3 Herbert St,3,h,1800000.0,VB,Cayzer,10/09/2016,3.3,3206.0,3.0,1.0,1.0,253.0,Port Phillip City Council,-37.8443,144.9579,Southern Metropolitan,3280.0
149,Albert Park,24 Kerferd Pl,3,h,1800000.0,S,Marshall,10/09/2016,3.3,3206.0,3.0,2.0,1.0,90.0,Port Phillip City Council,-37.8421,144.9571,Southern Metropolitan,3280.0
151,Albert Park,44 Draper St,2,h,1810000.0,PI,Greg,10/12/2016,3.3,3206.0,2.0,1.0,0.0,240.0,Port Phillip City Council,-37.8379,144.9539,Southern Metropolitan,3280.0
152,Albert Park,2 Dundas Pl,3,h,2615000.0,S,Cayzer,10/12/2016,3.3,3206.0,3.0,2.0,1.0,177.0,Port Phillip City Council,-37.8415,144.9585,Southern Metropolitan,3280.0
153,Albert Park,23 Finlay St,5,h,2100000.0,S,Greg,10/12/2016,3.3,3206.0,5.0,2.0,1.0,237.0,Port Phillip City Council,-37.8436,144.9557,Southern Metropolitan,3280.0
154,Albert Park,31 Richardson St,3,h,1300000.0,S,hockingstuart,10/12/2016,3.3,3206.0,3.0,1.0,0.0,129.0,Port Phillip City Council,-37.8422,144.949,Southern Metropolitan,3280.0
155,Albert Park,4a Gatehouse La,3,h,1370000.0,S,Greg,12/06/2016,3.3,3206.0,3.0,2.0,2.0,0.0,Port Phillip City Council,-37.8451,144.9511,Southern Metropolitan,3280.0
156,Albert Park,60 Brooke St,2,h,1000000.0,S,Cayzer,12/11/2016,3.3,3206.0,2.0,1.0,0.0,288.0,Port Phillip City Council,-37.8407,144.9523,Southern Metropolitan,3280.0
158,Albert Park,70 Barrett St,3,h,2575000.0,S,Greg,15/10/2016,3.3,3206.0,3.0,2.0,1.0,228.0,Port Phillip City Council,-37.8445,144.9501,Southern Metropolitan,3280.0
159,Albert Park,65 Graham St,2,h,1322500.0,S,Greg,15/10/2016,3.3,3206.0,2.0,1.0,0.0,149.0,Port Phillip City Council,-37.8443,144.9481,Southern Metropolitan,3280.0
161,Albert Park,364 Montague St,2,h,1562500.0,S,Greg,15/10/2016,3.3,3206.0,2.0,1.0,0.0,141.0,Port Phillip City Council,-37.8424,144.9562,Southern Metropolitan,3280.0
162,Albert Park,86 Mills St,3,h,2000000.0,VB,RT,16/04/2016,3.3,3206.0,3.0,2.0,1.0,211.0,Port Phillip City Council,-37.847,144.9575,Southern Metropolitan,3280.0
165,Albert Park,129 Kerferd Rd,3,h,1900000.0,S,Greg,18/03/2017,3.3,3206.0,3.0,1.0,0.0,209.0,Port Phillip City Council,-37.8468,144.9546,Southern Metropolitan,3280.0
166,Albert Park,97 Page St,3,h,3010000.0,S,Greg,18/03/2017,3.3,3206.0,3.0,2.0,0.0,147.0,Port Phillip City Council,-37.8473,144.9551,Southern Metropolitan,3280.0
168,Albert Park,55 Withers St,4,h,2800000.0,VB,Cayzer,18/06/2016,3.3,3206.0,4.0,3.0,1.0,327.0,Port Phillip City Council,-37.8467,144.9475,Southern Metropolitan,3280.0
170,Albert Park,10/140 Kerferd Rd,2,u,647000.0,S,Greg,22/05/2016,3.3,3206.0,2.0,1.0,1.0,0.0,Port Phillip City Council,-37.846,144.9542,Southern Metropolitan,3280.0
172,Albert Park,55 Merton St,3,h,2100000.0,SP,Marshall,23/04/2016,3.3,3206.0,2.0,1.0,1.0,120.0,Port Phillip City Council,-37.8427,144.9546,Southern Metropolitan,3280.0
176,Albert Park,49 Page St,3,h,2000000.0,PI,Marshall,24/09/2016,3.3,3206.0,3.0,1.0,1.0,238.0,Port Phillip City Council,-37.8461,144.9528,Southern Metropolitan,3280.0
177,Albert Park,13/52 Moubray St,1,u,442500.0,S,Marshall,25/02/2017,3.3,3206.0,1.0,1.0,0.0,0.0,Port Phillip City Council,-37.8421,144.9517,Southern Metropolitan,3280.0
178,Albert Park,115 Page St,4,h,4735000.0,S,Marshall,25/02/2017,3.3,3206.0,4.0,2.0,1.0,330.0,Port Phillip City Council,-37.8477,144.9558,Southern Metropolitan,3280.0
179,Albert Park,32 Page St,2,h,1340000.0,S,Greg,25/02/2017,3.3,3206.0,2.0,1.0,0.0,136.0,Port Phillip City Council,-37.846,144.9517,Southern Metropolitan,3280.0
180,Albert Park,34 Richardson St,3,h,1801000.0,S,hockingstuart,25/02/2017,3.3,3206.0,3.0,1.0,1.0,202.0,Port Phillip City Council,-37.8429,144.9493,Southern Metropolitan,3280.0
181,Albert Park,2b Dundas Pl,3,h,1532000.0,S,Chisholm,26/07/2016,3.3,3206.0,3.0,3.0,1.0,0.0,Port Phillip City Council,-37.8415,144.9585,Southern Metropolitan,3280.0
182,Albert Park,22 Greig St,3,h,3755000.0,S,Greg,26/07/2016,3.3,3206.0,3.0,2.0,2.0,325.0,Port Phillip City Council,-37.8413,144.95,Southern Metropolitan,3280.0
183,Albert Park,27 Barrett St,4,h,2140000.0,S,Greg,27/06/2016,3.3,3206.0,3.0,2.0,1.0,183.0,Port Phillip City Council,-37.8434,144.9495,Southern Metropolitan,3280.0
185,Albert Park,44 Greig St,2,h,1750000.0,S,Marshall,27/11/2016,3.3,3206.0,2.0,1.0,1.0,162.0,Port Phillip City Council,-37.8416,144.9488,Southern Metropolitan,3280.0
186,Albert Park,6 Brooke St,2,h,980000.0,S,Greg,28/05/2016,3.3,3206.0,2.0,1.0,0.0,79.0,Port Phillip City Council,-37.8387,144.9519,Southern Metropolitan,3280.0
190,Albert Park,227a Danks St,3,h,2030000.0,S,hockingstuart,28/08/2016,3.3,3206.0,3.0,2.0,0.0,152.0,Port Phillip City Council,-37.8488,144.9551,Southern Metropolitan,3280.0
191,Albert Park,17 Reed St,3,h,1740000.0,PI,Marshall,28/08/2016,3.3,3206.0,3.0,2.0,2.0,147.0,Port Phillip City Council,-37.8448,144.9453,Southern Metropolitan,3280.0
192,Albert Park,74 Bridport St,3,h,2800000.0,VB,Buxton,30/07/2016,3.3,3206.0,3.0,3.0,1.0,0.0,Port Phillip City Council,-37.8399,144.9577,Southern Metropolitan,3280.0
193,Albert Park,9 Durham St,1,h,985000.0,S,Marshall,30/07/2016,3.3,3206.0,1.0,1.0,0.0,81.0,Port Phillip City Council,-37.8411,144.9497,Southern Metropolitan,3280.0
195,Alphington,6 Smith St,4,h,2000000.0,S,Brace,3/09/2016,6.4,3078.0,3.0,2.0,4.0,853.0,Darebin City Council,-37.7707,145.0318,Northern Metropolitan,2211.0
196,Alphington,5/6 Yarralea St,3,h,1110000.0,S,Jellis,3/09/2016,6.4,3078.0,3.0,2.0,2.0,208.0,Darebin City Council,-37.7854,145.0325,Northern Metropolitan,2211.0
197,Alphington,136A Fulham Rd,3,h,1492000.0,S,Jellis,4/03/2017,6.4,3078.0,3.0,2.0,2.0,411.0,Darebin City Council,-37.7713,145.0279,Northern Metropolitan,2211.0
201,Alphington,44 Shiers St,4,h,1717500.0,S,Collins,8/10/2016,6.4,3078.0,4.0,2.0,1.0,599.0,Darebin City Council,-37.7717,145.031,Northern Metropolitan,2211.0
202,Alphington,83 Fulham Rd,5,h,2840000.0,S,Nelson,12/06/2016,6.4,3078.0,5.0,4.0,4.0,809.0,Darebin City Council,-37.775,145.0268,Northern Metropolitan,2211.0
204,Alphington,3/19 Harker St,2,u,525500.0,S,Miles,12/11/2016,6.4,3078.0,2.0,1.0,1.0,88.0,Darebin City Council,-37.7791,145.0306,Northern Metropolitan,2211.0
205,Alphington,4/2 Miller St,2,t,805000.0,S,Miles,12/11/2016,6.4,3078.0,2.0,2.0,3.0,155.0,Darebin City Council,-37.7804,145.0308,Northern Metropolitan,2211.0
206,Alphington,2/5 Yarana Rd,2,u,465000.0,S,McGrath,12/11/2016,6.4,3078.0,2.0,1.0,1.0,0.0,Darebin City Council,-37.7773,145.0314,Northern Metropolitan,2211.0
209,Alphington,815 Heidelberg Rd,3,h,2000000.0,PI,hockingstuart,15/10/2016,6.4,3078.0,3.0,3.0,2.0,686.0,Darebin City Council,-37.78,145.0341,Northern Metropolitan,2211.0
210,Alphington,44 Naroon Rd,3,h,1540000.0,S,Nelson,16/04/2016,6.4,3078.0,3.0,1.0,2.0,592.0,Darebin City Council,-37.7755,145.0288,Northern Metropolitan,2211.0
213,Alphington,3/98 Grange Rd,2,u,820000.0,S,Nelson,18/03/2017,6.4,3078.0,2.0,1.0,1.0,183.0,Darebin City Council,-37.7747,145.0264,Northern Metropolitan,2211.0
214,Alphington,10 Bennett St,4,h,1830000.0,S,Nelson,19/11/2016,6.4,3078.0,4.0,2.0,2.0,606.0,Darebin City Council,-37.7743,145.0316,Northern Metropolitan,2211.0
215,Alphington,38 Bennett St,4,h,2100000.0,S,Nelson,19/11/2016,6.4,3078.0,4.0,2.0,2.0,575.0,Darebin City Council,-37.7723,145.0319,Northern Metropolitan,2211.0
216,Alphington,2c Hamilton St,3,h,865000.0,SP,hockingstuart,22/05/2016,6.4,3078.0,3.0,1.0,1.0,180.0,Darebin City Council,-37.7802,145.0243,Northern Metropolitan,2211.0
217,Alphington,5/5 Yarana Rd,2,u,390000.0,VB,Nelson,22/05/2016,6.4,3078.0,2.0,1.0,1.0,0.0,Darebin City Council,-37.7773,145.0314,Northern Metropolitan,2211.0
218,Alphington,7/7 Chandler Hwy,2,t,650000.0,SP,Brace,24/09/2016,6.4,3078.0,0.0,1.0,0.0,0.0,Darebin City Council,-37.7848,145.025,Northern Metropolitan,2211.0
219,Alphington,1/14 Fulham Rd,2,u,512000.0,S,Love,25/02/2017,6.4,3078.0,2.0,1.0,1.0,0.0,Darebin City Council,-37.7805,145.0262,Northern Metropolitan,2211.0
